,atom,x,y,z
0,C,0.351237,-1.565146,-0.021265
1,C,-0.396083,0.578101,0.013378
2,N,0.897925,0.689317,0.035015
3,N,1.316177,-0.631864,0.014350
4,N,-0.768423,-0.759415,-0.002949
5,C,2.712947,-0.897124,0.029431
6,C,3.629055,0.143674,-0.013468
7,C,3.158149,-2.221648,0.086036
8,C,4.998387,-0.126392,0.000638
9,C,4.513984,-2.488613,0.097562
10,C,5.446007,-1.444269,0.055833
11,C,-2.100315,-1.259612,-0.043332
12,C,-2.435160,-2.233002,-0.988893
13,C,-3.057689,-0.812559,0.859858
14,C,-3.720305,-2.739572,-1.031030
15,C,-4.361832,-1.307260,0.810112
16,C,-4.695398,-2.274240,-0.138085
17,N,-1.326770,1.580123,-0.008415
18,C,-1.101597,2.964362,-0.047956
19,C,-2.204276,3.783895,-0.321278
20,C,0.145930,3.545504,0.199471
21,C,-2.063228,5.163689,-0.349790
22,C,0.268669,4.932128,0.165348
23,C,-0.822750,5.749994,-0.107243
24,H,3.274259,1.165866,-0.060566
25,H,2.425648,-3.019519,0.119325
26,H,5.695852,0.701975,-0.033494
27,H,4.883770,-3.507440,0.141589
28,H,-1.666612,-2.588436,-1.666511
29,H,-2.782557,-0.091857,1.624753
30,H,-4.004020,-3.498824,-1.751665
31,H,-5.091356,-0.945713,1.524524
32,H,-2.267203,1.277539,-0.226792
33,H,-3.174104,3.330849,-0.513945
34,H,1.001190,2.918362,0.411056
35,H,-2.928998,5.782215,-0.565410
36,H,1.241581,5.374317,0.357567
37,H,-0.710542,6.828691,-0.131574
38,O,-5.926669,-2.825924,-0.272097
39,O,6.754781,-1.817085,0.073879
40,C,7.718732,-0.790565,0.034938
41,H,7.628619,-0.124548,0.902127
42,H,8.690210,-1.284311,0.057425
43,H,7.633416,-0.196813,-0.883670
44,C,-6.932543,-2.403006,0.622552
45,H,-6.661147,-2.627531,1.661002
46,H,-7.127092,-1.328210,0.523355
47,H,-7.829701,-2.959710,0.353747
