,atom,x,y,z
0,P,0.1108,0.4785,-0.2295
1,O,0.8338,1.1451,1.058
2,N,-1.5273,0.4032,0.1468
3,N,0.6358,-1.1168,-0.2987
4,O,0.3734,1.2317,-1.4578
5,C,1.6192,2.3114,0.9058
6,C,-1.9604,-0.4152,1.2635
7,C,-2.4255,1.4536,-0.3242
8,C,0.0857,-1.6886,-1.5368
9,C,1.2208,-2.0117,0.6937
10,C,3.0488,2.0478,0.5372
11,H,1.5655,2.8332,1.868
12,H,1.1819,2.9564,0.1319
13,C,-2.1219,0.3798,2.5613
14,H,-1.1608,-1.1451,1.4109
15,C,-3.2388,-1.192,0.9343
16,C,-2.7098,1.281,-1.8151
17,C,-1.8978,2.8573,-0.0329
18,H,-3.3679,1.3289,0.2193
19,H,-0.7186,-1.0012,-1.8275
20,C,-0.544,-3.0701,-1.3783
21,C,1.1087,-1.6658,-2.6732
22,C,2.5056,-2.6725,0.1742
23,H,0.496,-2.8134,0.9079
24,C,1.55,-1.3349,2.0205
25,C,3.4503,1.0125,-0.172
26,H,3.742,2.8071,0.8746
27,H,2.7432,0.2794,-0.5219
28,H,4.4838,0.8681,-0.4377
29,H,-2.346,-0.2942,3.3853
30,H,-2.9311,1.1018,2.4787
31,H,-1.2007,0.9131,2.7845
32,H,-3.3989,-1.9658,1.6816
33,H,-3.1517,-1.6606,-0.0429
34,H,-4.1118,-0.5443,0.928
35,H,-3.4244,2.03,-2.1486
36,H,-3.1226,0.2932,-2.008
37,H,-1.7891,1.394,-2.378
38,H,-2.6618,3.598,-0.2615
39,H,-1.026,3.0558,-0.6484
40,H,-1.6221,2.9505,1.0155
41,H,-1.0661,-3.3206,-2.299
42,H,-1.266,-3.0784,-0.5652
43,H,0.2025,-3.8387,-1.1957
44,H,0.623,-1.9429,-3.6062
45,H,1.9331,-2.3491,-2.4961
46,H,1.4997,-0.6576,-2.7729
47,H,2.9617,-3.2477,0.9772
48,H,3.2134,-1.9172,-0.1545
49,H,2.3074,-3.3499,-0.6502
50,H,2.3683,-0.631,1.9003
51,H,1.8509,-2.0999,2.7349
52,H,0.6956,-0.8039,2.4264
