,atom,x,y,z
0,P,0.1489,0.2234,-0.6818
1,O,1.364,0.9007,0.1648
2,N,-1.2335,0.7185,0.1303
3,N,0.4183,-1.4085,-0.4332
4,O,0.158,0.6168,-2.0928
5,C,1.6347,2.269,-0.0879
6,C,-1.256,1.1468,1.5179
7,C,-2.4984,0.669,-0.5973
8,C,0.604,-1.8394,0.9438
9,C,0.9234,-2.1145,-1.6076
10,C,1.9208,3.0278,1.1701
11,H,0.7903,2.7212,-0.622
12,H,2.5069,2.3332,-0.7538
13,C,-1.7076,2.6039,1.6585
14,H,-0.2218,1.0935,1.8678
15,C,-2.1133,0.2444,2.4133
16,C,-2.6881,-0.688,-1.2669
17,C,-2.6141,1.795,-1.6253
18,H,-3.2963,0.7982,0.142
19,H,0.2977,-0.9692,1.5308
20,C,2.0488,-2.1483,1.3341
21,C,-0.3186,-2.9985,1.3382
22,C,2.4181,-1.8972,-1.8555
23,H,0.3981,-1.6355,-2.4407
24,C,0.5729,-3.5976,-1.6332
25,C,2.1392,2.4798,2.3502
26,H,1.9551,4.1008,1.0353
27,H,2.1231,1.411,2.4815
28,H,2.347,3.0734,3.2234
29,H,-2.7464,2.7234,1.3609
30,H,-1.0893,3.2518,1.0423
31,H,-1.608,2.9175,2.695
32,H,-3.1745,0.4108,2.244
33,H,-1.9016,0.4643,3.4571
34,H,-1.8957,-0.8029,2.2267
35,H,-1.9097,-0.8412,-2.0081
36,H,-3.6576,-0.7318,-1.7585
37,H,-2.6326,-1.4853,-0.5292
38,H,-3.5957,1.7693,-2.0935
39,H,-1.8534,1.6741,-2.3883
40,H,-2.4803,2.7628,-1.149
41,H,2.697,-1.3289,1.036
42,H,2.3965,-3.0689,0.8733
43,H,2.1103,-2.2675,2.4143
44,H,-0.4027,-3.0393,2.4227
45,H,0.0643,-3.9543,0.996
46,H,-1.3106,-2.853,0.918
47,H,3.0359,-2.4704,-1.1708
48,H,2.6457,-0.8402,-1.7419
49,H,2.6637,-2.196,-2.8722
50,H,1.1633,-4.1589,-0.914
51,H,0.7896,-3.9913,-2.6239
52,H,-0.4831,-3.7478,-1.4281
