,atom,x,y,z
0,P,0.2501,-0.2353,-0.7018
1,O,1.4389,0.8508,-0.5229
2,N,-1.1199,0.5915,-0.1377
3,N,0.5527,-1.4759,0.3805
4,O,0.224,-0.6275,-2.1088
5,C,1.5442,1.8926,0.429
6,C,-1.4812,1.6489,-1.0809
7,C,-2.0384,-0.0291,0.7994
8,C,1.0714,-1.1513,1.7001
9,C,0.6451,-2.8506,-0.1033
10,C,1.925,3.1682,-0.2594
11,H,2.3029,1.628,1.1751
12,H,0.5771,2.0271,0.9341
13,C,-2.3623,1.2051,-2.252
14,H,-0.5182,1.9346,-1.5236
15,C,-2.0726,2.8845,-0.4049
16,C,-3.4053,-0.4151,0.2346
17,C,-2.2086,0.7988,2.0805
18,H,-1.5407,-0.9625,1.0775
19,H,0.7967,-0.1058,1.8686
20,C,2.5961,-1.2732,1.7704
21,C,0.4291,-1.976,2.8207
22,C,-0.6973,-3.2915,-0.681
23,H,0.8617,-3.4735,0.7714
24,C,1.7657,-3.0534,-1.1224
25,C,2.8619,3.9914,0.1705
26,H,1.3707,3.3759,-1.1636
27,H,3.4297,3.7895,1.0642
28,H,3.0948,4.9057,-0.3467
29,H,-2.3129,1.9588,-3.0352
30,H,-3.4016,1.0839,-1.9643
31,H,-1.9843,0.2705,-2.654
32,H,-2.1049,3.7007,-1.1234
33,H,-1.4676,3.1989,0.4421
34,H,-3.0879,2.6966,-0.0658
35,H,-3.9223,-1.042,0.9591
36,H,-3.2881,-0.9779,-0.687
37,H,-4.0228,0.4591,0.0482
38,H,-2.6693,0.1837,2.8505
39,H,-2.8406,1.6661,1.9174
40,H,-1.2426,1.1378,2.4482
41,H,2.8994,-2.3153,1.7018
42,H,2.9609,-0.8714,2.7135
43,H,3.0529,-0.7255,0.9496
44,H,-0.6533,-1.9913,2.7263
45,H,0.6837,-1.5314,3.7799
46,H,0.791,-3.001,2.8209
47,H,-0.9499,-2.6611,-1.5275
48,H,-1.4823,-3.2108,0.0683
49,H,-0.6398,-4.3247,-1.0152
50,H,2.7176,-2.7203,-0.7176
51,H,1.5536,-2.4827,-2.0192
52,H,1.8439,-4.1079,-1.379
