,atom,x,y,z
0,P,0.1051,0.0717,-0.3589
1,O,1.1167,0.7695,0.7167
2,N,-1.4096,0.5129,0.2353
3,N,0.2284,-1.5845,-0.0979
4,O,0.4189,0.452,-1.7411
5,C,2.2494,1.4992,0.266
6,C,-1.6506,1.4362,1.3445
7,C,-2.5223,0.3958,-0.7095
8,C,-0.163,-2.1137,1.1966
9,C,1.1486,-2.385,-0.9021
10,C,1.9126,2.8661,-0.2386
11,H,2.7418,0.9529,-0.5466
12,H,2.9283,1.5527,1.1243
13,C,-1.2143,0.8623,2.6919
14,H,-2.7415,1.5575,1.3809
15,C,-1.0445,2.8319,1.1659
16,C,-2.4664,-0.9117,-1.4851
17,C,-2.6011,1.5704,-1.6869
18,H,-3.4409,0.382,-0.103
19,H,-0.8888,-1.3937,1.5763
20,C,1.0009,-2.1997,2.1871
21,C,-0.8665,-3.4701,1.086
22,C,0.5886,-2.636,-2.3009
23,H,1.2377,-3.352,-0.3973
24,C,2.5495,-1.7819,-1.0012
25,C,2.4794,3.9775,0.1903
26,H,1.168,2.8717,-1.021
27,H,3.2253,3.9716,0.9689
28,H,2.2279,4.9392,-0.2224
29,H,-1.7787,-0.035,2.9354
30,H,-1.3995,1.6003,3.4697
31,H,-0.155,0.6301,2.6776
32,H,0.0136,2.8253,1.4043
33,H,-1.5435,3.5328,1.833
34,H,-1.1648,3.1806,0.1449
35,H,-2.3885,-1.7523,-0.803
36,H,-1.6118,-0.9111,-2.1509
37,H,-3.3743,-1.0216,-2.0754
38,H,-3.3994,1.4009,-2.4058
39,H,-1.659,1.6543,-2.2201
40,H,-2.8044,2.5024,-1.1656
41,H,0.6325,-2.4902,3.1684
42,H,1.4901,-1.233,2.27
43,H,1.7345,-2.9356,1.8643
44,H,-1.3569,-3.6983,2.0295
45,H,-0.1666,-4.2737,0.87
46,H,-1.6181,-3.4511,0.3015
47,H,-0.392,-3.1007,-2.2403
48,H,1.2554,-3.2967,-2.851
49,H,0.5053,-1.6969,-2.8376
50,H,2.925,-1.5189,-0.0146
51,H,2.5204,-0.8941,-1.6258
52,H,3.2319,-2.4996,-1.4535
