,atom,x,y,z
0,P,0.1841,0.0824,-0.5512
1,O,0.7776,1.5006,-0.0057
2,N,-1.4875,0.2026,-0.3603
3,N,0.696,-1.0553,0.586
4,O,0.6314,-0.1423,-1.9352
5,C,1.6653,2.2355,-0.8296
6,C,-2.1844,0.2518,-1.6493
7,C,-2.0069,1.0189,0.746
8,C,2.0675,-0.9079,1.0579
9,C,0.1935,-2.4241,0.4648
10,C,2.909,2.6533,-0.1074
11,H,1.1405,3.1363,-1.1797
12,H,1.9193,1.6351,-1.7113
13,C,-3.3901,-0.6907,-1.7281
14,H,-1.4489,-0.1288,-2.3644
15,C,-2.5473,1.6654,-2.104
16,C,-1.1966,0.8288,2.0249
17,C,-3.466,0.6883,1.0703
18,H,-1.9462,2.0828,0.4711
19,H,2.2762,0.1645,1.0386
20,C,3.1007,-1.5846,0.1537
21,C,2.2006,-1.3717,2.5097
22,C,-1.0796,-2.6169,1.2887
23,H,0.9611,-3.0789,0.889
24,C,-0.0492,-2.8683,-0.9748
25,C,3.0537,2.6822,1.204
26,H,3.7107,2.964,-0.7638
27,H,2.2551,2.3915,1.8658
28,H,3.9728,2.9979,1.6666
29,H,-3.5913,-0.9175,-2.773
30,H,-4.2891,-0.2562,-1.3032
31,H,-3.176,-1.6232,-1.213
32,H,-2.9021,1.6309,-3.1313
33,H,-1.6644,2.3009,-2.0658
34,H,-3.327,2.107,-1.4882
35,H,-0.1447,1.0158,1.8548
36,H,-1.3187,-0.1786,2.4058
37,H,-1.5557,1.5324,2.7744
38,H,-4.1502,1.0546,0.3124
39,H,-3.7335,1.1636,2.0116
40,H,-3.5992,-0.3844,1.1791
41,H,3.0162,-2.6684,0.1895
42,H,4.1041,-1.3074,0.4688
43,H,2.9524,-1.2567,-0.8723
44,H,3.1785,-1.0897,2.8924
45,H,2.0994,-2.4505,2.5985
46,H,1.4364,-0.9002,3.1222
47,H,-1.863,-1.967,0.9135
48,H,-0.8941,-2.3909,2.3358
49,H,-1.4119,-3.6505,1.2141
50,H,-0.8595,-2.2939,-1.4132
51,H,-0.3109,-3.925,-0.9956
52,H,0.8398,-2.7129,-1.5783
