,atom,x,y,z
0,P,0.0301,0.1108,-0.6088
1,O,0.9203,1.2629,0.1082
2,N,-1.4629,0.3666,0.1228
3,N,0.5529,-1.3279,0.056
4,O,0.0993,0.165,-2.0756
5,C,1.9957,1.799,-0.6404
6,C,-2.429,-0.6453,-0.2844
7,C,-1.9714,1.6968,0.4372
8,C,0.6525,-1.3615,1.5051
9,C,1.1842,-2.3758,-0.7348
10,C,2.8753,2.654,0.2147
11,H,1.602,2.388,-1.4798
12,H,2.5939,0.9896,-1.08
13,C,-3.3911,-0.9857,0.8555
14,H,-1.8237,-1.5332,-0.4976
15,C,-3.1866,-0.2856,-1.5626
16,C,-1.642,2.7498,-0.6216
17,C,-1.4794,2.1359,1.8162
18,H,-3.0613,1.6044,0.487
19,H,0.1013,-0.4763,1.8386
20,C,2.0945,-1.2435,2.0012
21,C,-0.0253,-2.6005,2.0935
22,C,0.1891,-2.9918,-1.7161
23,H,1.4974,-3.1537,-0.0297
24,C,2.424,-1.8794,-1.4797
25,C,2.7557,2.8053,1.5197
26,H,3.658,3.1559,-0.3388
27,H,1.9804,2.304,2.073
28,H,3.4245,3.4341,2.0815
29,H,-2.8403,-1.1345,1.7805
30,H,-3.9328,-1.8982,0.618
31,H,-4.119,-0.1931,1.0117
32,H,-2.4737,-0.0649,-2.3523
33,H,-3.8273,0.5804,-1.4122
34,H,-3.8067,-1.1233,-1.8736
35,H,-0.6005,3.0478,-0.5534
36,H,-2.2625,3.6324,-0.4742
37,H,-1.8252,2.3523,-1.6163
38,H,-1.9188,3.0953,2.0802
39,H,-0.399,2.2343,1.8097
40,H,-1.7632,1.4022,2.5671
41,H,2.5543,-0.3423,1.6031
42,H,2.6856,-2.1042,1.6953
43,H,2.1075,-1.1885,3.0874
44,H,0.5526,-3.5006,1.8964
45,H,-1.0162,-2.7261,1.6663
46,H,-0.1201,-2.4897,3.171
47,H,-0.175,-2.2255,-2.3931
48,H,-0.6536,-3.4271,-1.1829
49,H,0.673,-3.7747,-2.2955
50,H,3.1262,-1.4191,-0.7873
51,H,2.1295,-1.1516,-2.2294
52,H,2.9208,-2.7115,-1.9748
