,atom,x,y,z
0,P,0.0224,0.0166,-0.5014
1,O,1.0957,1.049,0.1651
2,N,-1.4527,0.5459,0.0987
3,N,0.398,-1.4363,0.2341
4,O,0.1083,-0.0032,-1.9644
5,C,1.5387,2.1717,-0.5826
6,C,-2.6644,0.2172,-0.6452
7,C,-1.5637,1.4397,1.2398
8,C,0.2993,-1.5226,1.6805
9,C,1.2922,-2.37,-0.448
10,C,3.0328,2.2339,-0.5638
11,H,1.1094,3.0822,-0.1491
12,H,1.1878,2.0646,-1.618
13,C,-2.773,0.9738,-1.97
14,H,-3.5114,0.5078,-0.0145
15,C,-2.7406,-1.2857,-0.887
16,C,-2.5109,0.9099,2.3245
17,C,-1.9889,2.8535,0.8292
18,H,-0.5581,1.5045,1.6658
19,H,-0.3691,-0.7103,1.968
20,C,1.6319,-1.2983,2.3978
21,C,-0.3462,-2.8402,2.1172
22,C,0.5656,-3.0678,-1.5955
23,H,1.5683,-3.1319,0.2888
24,C,2.5725,-1.7046,-0.9491
25,C,3.7279,3.3043,-0.2296
26,H,3.5235,1.3136,-0.8476
27,H,3.2477,4.2248,0.06
28,H,4.8041,3.311,-0.2443
29,H,-3.7264,0.7499,-2.4441
30,H,-1.9688,0.6732,-2.6318
31,H,-2.7074,2.0464,-1.8094
32,H,-2.7027,-1.8227,0.0581
33,H,-1.9,-1.593,-1.5001
34,H,-3.6665,-1.5394,-1.3986
35,H,-3.5521,1.0635,2.0509
36,H,-2.3277,1.4418,3.2551
37,H,-2.3564,-0.1523,2.4958
38,H,-3.0132,2.8604,0.464
39,H,-1.3372,3.2291,0.0437
40,H,-1.9257,3.5204,1.6862
41,H,1.4695,-1.2651,3.4729
42,H,2.064,-0.3529,2.0798
43,H,2.3361,-2.0988,2.1832
44,H,-0.5834,-2.799,3.1778
45,H,0.3176,-3.6849,1.9515
46,H,-1.2634,-3.0111,1.5593
47,H,-0.3366,-3.5529,-1.2306
48,H,1.2122,-3.8208,-2.041
49,H,0.2968,-2.3418,-2.3554
50,H,3.0823,-1.198,-0.1331
51,H,2.3275,-0.9794,-1.7189
52,H,3.2415,-2.4526,-1.3707
