,atom,x,y,z
0,P,-0.1575,-0.1686,-0.4259
1,O,0.9044,1.0522,-0.5646
2,N,-1.5257,0.4877,0.2877
3,N,0.5839,-1.1454,0.7348
4,O,-0.4351,-0.8055,-1.7225
5,C,1.0208,1.6315,-1.852
6,C,-2.813,0.4008,-0.4077
7,C,-1.4658,1.4771,1.3586
8,C,-0.306,-2.2015,1.2033
9,C,2.002,-1.4831,0.6247
10,C,2.2763,2.4326,-1.9871
11,H,0.1581,2.2871,-2.0448
12,H,0.9908,0.8389,-2.6106
13,C,-2.8051,1.0395,-1.7981
14,H,-3.5276,0.9567,0.2143
15,C,-3.3013,-1.0427,-0.5006
16,C,-1.4026,2.9142,0.8301
17,C,-0.3,1.2343,2.3034
18,H,-2.3977,1.3651,1.9346
19,H,-1.3,-1.7424,1.2056
20,C,0.0179,-2.6321,2.6363
21,C,-0.3492,-3.4188,0.2767
22,C,2.5107,-1.6064,-0.8112
23,H,2.1235,-2.4609,1.1011
24,C,2.8491,-0.4812,1.409
25,C,3.0547,2.8077,-0.9904
26,H,2.5022,2.7123,-3.0076
27,H,2.8293,2.544,0.0284
28,H,3.9451,3.3896,-1.1537
29,H,-2.193,0.4498,-2.4711
30,H,-2.4084,2.0512,-1.7591
31,H,-3.8203,1.0806,-2.1878
32,H,-2.5973,-1.6316,-1.0779
33,H,-4.2708,-1.0702,-0.9929
34,H,-3.4061,-1.4782,0.4908
35,H,-0.4916,3.0596,0.2561
36,H,-1.4019,3.6126,1.6643
37,H,-2.2602,3.1396,0.2012
38,H,0.6377,1.3179,1.7672
39,H,-0.3678,0.2454,2.7424
40,H,-0.3233,1.9746,3.1009
41,H,-0.7921,-3.249,3.0183
42,H,0.1314,-1.7681,3.2853
43,H,0.9344,-3.2153,2.6815
44,H,-0.5459,-3.0944,-0.7408
45,H,-1.14,-4.0967,0.5896
46,H,0.5947,-3.9594,0.2947
47,H,2.5831,-0.6289,-1.2781
48,H,1.838,-2.2231,-1.4002
49,H,3.4998,-2.062,-0.8126
50,H,3.8907,-0.7954,1.4069
51,H,2.5035,-0.4173,2.4376
52,H,2.7816,0.4999,0.9514
