,atom,x,y,z
0,P,-0.1798,-0.1911,-0.6702
1,N,1.1684,-0.9072,0.0103
2,N,-0.1457,1.4409,-0.3044
3,N,-1.5319,-0.7238,0.2351
4,O,-0.2448,-0.4547,-2.1104
5,C,1.8811,-1.9137,-0.7553
6,C,1.5012,-0.74,1.4035
7,C,-0.6977,2.0353,0.8903
8,C,0.3112,2.3237,-1.3581
9,C,-2.7609,-0.2543,-0.3836
10,C,-1.5444,-2.1043,0.6847
11,H,1.1707,-2.4055,-1.4249
12,H,2.2802,-2.663,-0.0622
13,C,3.0023,-1.3324,-1.6119
14,H,0.731,-0.1015,1.837
15,C,2.8743,-0.1071,1.6249
16,H,1.4712,-1.7113,1.919
17,H,-1.1127,1.2226,1.4888
18,H,-1.5245,2.7077,0.6155
19,C,0.3081,2.8284,1.7242
20,H,0.0447,1.865,-2.3143
21,C,1.8214,2.5459,-1.3397
22,H,-0.2158,3.2801,-1.2728
23,H,-3.0944,-0.9544,-1.163
24,H,-2.5221,0.6915,-0.879
25,C,-3.8898,-0.0337,0.6164
26,H,-0.586,-2.569,0.4328
27,H,-2.3274,-2.6639,0.1584
28,C,-1.7619,-2.2179,2.1938
29,H,3.7301,-0.7977,-1.0079
30,H,2.573,-0.6481,-2.3384
31,H,3.5099,-2.133,-2.1454
32,H,2.9626,0.8091,1.0467
33,H,3.6667,-0.787,1.3227
34,H,3.0083,0.1244,2.6797
35,H,-0.1618,3.1409,2.6544
36,H,0.6341,3.7193,1.1938
37,H,1.1789,2.2238,1.9603
38,H,2.3229,1.5847,-1.4141
39,H,2.1416,3.0385,-0.4253
40,H,2.1152,3.161,-2.1874
41,H,-3.5525,0.5899,1.4404
42,H,-4.2479,-0.9796,1.0142
43,H,-4.721,0.4627,0.1211
44,H,-2.7293,-1.8178,2.4816
45,H,-0.9923,-1.6679,2.7283
46,H,-1.7148,-3.2625,2.4934
