,atom,x,y,z
0,P,-0.1811,0.0049,-0.5201
1,N,1.1241,-1.062,-0.4651
2,N,0.1153,1.188,0.6304
3,N,-1.609,-0.7785,-0.0665
4,O,-0.3485,0.5764,-1.858
5,C,1.1462,-2.2871,0.302
6,C,2.0541,-0.9788,-1.5792
7,C,1.1798,1.2124,1.5967
8,C,-0.879,2.2426,0.65
9,C,-2.4083,-1.2573,-1.1857
10,C,-2.069,-1.3074,1.2034
11,H,1.0539,-3.1519,-0.3729
12,H,0.281,-2.2894,0.9613
13,C,2.4138,-2.4653,1.1385
14,H,2.4666,-1.9742,-1.7684
15,C,3.1735,0.022,-1.3191
16,H,1.5061,-0.6573,-2.4689
17,H,1.7689,0.3098,1.4321
18,H,0.7722,1.1872,2.6199
19,C,2.0992,2.4285,1.4807
20,H,-1.8394,1.7946,0.3711
21,C,-0.5877,3.3799,-0.3263
22,H,-0.9638,2.6325,1.6719
23,H,-2.7028,-2.2986,-1.004
24,H,-1.7892,-1.2288,-2.0823
25,C,-3.6421,-0.3915,-1.421
26,H,-1.9285,-2.4023,1.2242
27,H,-3.1506,-1.1276,1.2573
28,C,-1.4317,-0.7016,2.4411
29,H,2.3584,-3.4059,1.6823
30,H,2.5252,-1.6581,1.859
31,H,3.296,-2.4876,0.5041
32,H,3.8669,0.0319,-2.1569
33,H,3.721,-0.2228,-0.4119
34,H,2.7414,1.013,-1.2118
35,H,2.4511,2.5423,0.4594
36,H,2.959,2.2975,2.1346
37,H,1.5821,3.3373,1.7771
38,H,-0.4682,2.9654,-1.3223
39,H,0.3185,3.9148,-0.0593
40,H,-1.419,4.0819,-0.3312
41,H,-4.2185,-0.7859,-2.2539
42,H,-3.3265,0.6204,-1.6595
43,H,-4.2801,-0.3626,-0.5403
44,H,-0.3573,-0.8579,2.4503
45,H,-1.8564,-1.1783,3.3232
46,H,-1.6348,0.3634,2.4937
