,atom,x,y,z
0,P,-0.2748,0.0684,-0.5901
1,N,1.2042,-0.7113,-0.7737
2,N,-0.0406,1.5637,0.1541
3,N,-1.234,-0.8242,0.4711
4,O,-0.9323,0.2487,-1.8828
5,C,1.3146,-1.5569,-1.9495
6,C,2.2304,-0.8843,0.2322
7,C,0.1246,2.6936,-0.7389
8,C,0.4628,1.6977,1.5038
9,C,-0.7939,-1.7826,1.4569
10,C,-2.6323,-0.4422,0.4805
11,H,2.3724,-1.6781,-2.1975
12,H,0.8218,-1.0348,-2.7708
13,C,0.6522,-2.9172,-1.764
14,H,1.8707,-0.4867,1.1809
15,C,3.5353,-0.1715,-0.1294
16,H,2.4426,-1.9538,0.3697
17,H,-0.2863,3.5868,-0.2602
18,H,-0.4768,2.4726,-1.6216
19,C,1.5644,2.947,-1.1741
20,H,0.2077,0.7722,2.0262
21,C,-0.1587,2.8756,2.2562
22,H,1.556,1.8134,1.5246
23,H,-0.8714,-1.3708,2.4752
24,H,0.2546,-1.999,1.2594
25,C,-1.5729,-3.098,1.4035
26,H,-3.2555,-1.319,0.2702
27,H,-2.7574,0.2623,-0.3432
28,C,-3.0961,0.2077,1.781
29,H,1.0867,-3.4572,-0.9244
30,H,0.7707,-3.5187,-2.662
31,H,-0.4083,-2.7663,-1.5781
32,H,3.3709,0.8982,-0.2172
33,H,3.9303,-0.5356,-1.0742
34,H,4.2769,-0.3509,0.6458
35,H,1.9478,2.0666,-1.6849
36,H,2.2014,3.1745,-0.321
37,H,1.5985,3.7901,-1.8598
38,H,0.2517,3.822,1.9146
39,H,0.0524,2.779,3.3187
40,H,-1.2364,2.8954,2.1137
41,H,-1.5884,-3.487,0.389
42,H,-2.5967,-2.9653,1.7419
43,H,-1.0923,-3.8282,2.0506
44,H,-2.4658,1.0583,2.0231
45,H,-3.0644,-0.4978,2.6086
46,H,-4.1203,0.5542,1.6678
