,atom,x,y,z
0,P,-0.1697,-0.1488,-0.6317
1,N,1.2946,-0.7251,-0.0518
2,N,-0.0491,1.5394,-0.368
3,N,-1.4366,-0.7635,0.291
4,O,-0.3654,-0.5261,-2.0367
5,C,2.2042,-0.0691,0.8564
6,C,1.5391,-2.1156,-0.3711
7,C,-1.3217,2.247,-0.3475
8,C,0.9314,2.0995,-1.2888
9,C,-1.7645,-0.4761,1.6746
10,C,-2.5384,-1.375,-0.4351
11,H,2.2559,-0.6011,1.8156
12,H,1.8096,0.9296,1.0402
13,C,3.6242,0.0529,0.298
14,H,0.8878,-2.356,-1.2144
15,C,1.2496,-3.0749,0.7818
16,H,2.5757,-2.2412,-0.7008
17,H,-2.1371,1.5166,-0.3352
18,H,-1.4359,2.8366,-1.2658
19,C,-1.4618,3.1701,0.8622
20,H,1.6798,1.3246,-1.4666
21,C,1.6046,3.355,-0.7476
22,H,0.4652,2.3233,-2.2587
23,H,-2.2298,-1.3745,2.0981
24,H,-2.5147,0.3294,1.7235
25,C,-0.5687,-0.0982,2.5249
26,H,-2.3888,-1.181,-1.497
27,H,-3.4848,-0.9116,-0.1256
28,C,-2.6078,-2.8849,-0.2224
29,H,4.2141,0.6931,0.9495
30,H,3.6105,0.4875,-0.6981
31,H,4.1119,-0.9169,0.2442
32,H,0.2243,-2.9513,1.1209
33,H,1.9225,-2.8963,1.6182
34,H,1.3864,-4.101,0.4488
35,H,-1.413,2.6034,1.7873
36,H,-2.4212,3.6814,0.8193
37,H,-0.6724,3.9155,0.8769
38,H,1.9923,3.1809,0.2532
39,H,0.9069,4.1875,-0.7127
40,H,2.4318,3.6321,-1.3969
41,H,0.1289,-0.9272,2.5878
42,H,-0.9031,0.1502,3.5308
43,H,-0.0645,0.7615,2.097
44,H,-2.741,-3.1346,0.8283
45,H,-1.6911,-3.3473,-0.5782
46,H,-3.4456,-3.2944,-0.781
