,atom,x,y,z
0,P,-0.0855,0.0052,-0.5522
1,N,1.2873,-0.6884,0.1228
2,N,-0.0813,1.6822,-0.3469
3,N,-1.3912,-0.4804,0.4329
4,O,-0.2243,-0.3369,-1.9714
5,C,2.1595,-1.4712,-0.7278
6,C,1.6134,-0.6002,1.5279
7,C,0.1364,2.384,0.9087
8,C,0.3681,2.4054,-1.523
9,C,-2.6348,0.037,-0.1265
10,C,-1.4226,-1.8831,0.8081
11,H,3.1865,-1.0936,-0.6564
12,H,1.809,-1.3184,-1.7496
13,C,2.1464,-2.9664,-0.4168
14,H,0.7949,-0.0678,2.0135
15,C,2.9407,0.114,1.7939
16,H,1.6675,-1.603,1.9737
17,H,0.2292,3.447,0.6629
18,H,1.071,2.0814,1.3914
19,C,-1.0133,2.2231,1.8952
20,H,-0.0096,1.8681,-2.3931
21,C,1.8871,2.5134,-1.6256
22,H,-0.0823,3.4046,-1.5109
23,H,-2.9213,-0.513,-1.0314
24,H,-2.4268,1.0664,-0.4288
25,C,-3.7847,0.0149,0.8735
26,H,-2.105,-1.9916,1.6589
27,H,-0.4214,-2.1463,1.1514
28,C,-1.8248,-2.846,-0.3095
29,H,2.7638,-3.4909,-1.1416
30,H,1.1329,-3.3535,-0.4793
31,H,2.541,-3.1699,0.5765
32,H,3.0315,0.3384,2.8541
33,H,2.9983,1.0427,1.2305
34,H,3.7822,-0.511,1.5055
35,H,-1.9357,2.6031,1.4643
36,H,-0.7936,2.7859,2.8006
37,H,-1.1562,1.1785,2.1519
38,H,2.3159,1.5134,-1.6429
39,H,2.2999,3.06,-0.7794
40,H,2.1648,3.0304,-2.5407
41,H,-4.1091,-1.0019,1.0797
42,H,-4.6295,0.5628,0.4631
43,H,-3.4883,0.4814,1.8092
44,H,-2.883,-2.7617,-0.5439
45,H,-1.6243,-3.8707,-0.0036
46,H,-1.251,-2.6209,-1.2053
