,atom,x,y,z
0,P,0.125,0.2256,-0.827
1,N,1.2368,-0.967,-0.3937
2,N,0.7958,1.6233,-0.1631
3,C,-1.4448,-0.0976,0.0568
4,O,-0.0432,0.2564,-2.2831
5,C,1.5739,-1.1414,1.0053
6,C,1.2407,-2.1472,-1.2348
7,C,0.0695,2.5525,0.6736
8,C,1.8732,2.1723,-0.969
9,H,0.8436,-1.7791,1.5227
10,H,1.539,-0.1432,1.4484
11,C,2.9683,-1.728,1.21
12,H,1.0206,-1.7993,-2.2458
13,C,0.2147,-3.2043,-0.8339
14,H,2.2455,-2.58,-1.2349
15,H,-0.9113,2.1281,0.8984
16,H,-0.0989,3.4945,0.1331
17,C,0.8032,2.8594,1.9792
18,H,1.7708,1.7855,-1.9885
19,C,3.2555,1.8009,-0.4425
20,H,1.7712,3.262,-1.0079
21,H,3.2359,-1.663,2.2621
22,H,3.7053,-1.178,0.6309
23,H,3.0039,-2.7736,0.9154
24,H,0.4354,-3.6208,0.1468
25,H,0.2185,-4.0145,-1.5587
26,H,-0.7798,-2.7613,-0.8103
27,H,1.7477,3.3589,1.7809
28,H,1.0053,1.9439,2.5304
29,H,0.1923,3.5104,2.6001
30,H,3.3925,0.7261,-0.5075
31,H,3.3769,2.1083,0.5931
32,H,4.0203,2.2872,-1.0439
33,C,-2.5392,-0.3531,-0.7591
34,C,-1.5772,-0.2198,1.4354
35,C,-2.7952,-0.5822,1.9829
36,C,-3.8849,-0.8302,1.1639
37,C,-3.7566,-0.7132,-0.2102
38,H,-2.4129,-0.2592,-1.8275
39,H,-0.7387,-0.0194,2.0844
40,H,-2.8943,-0.6723,3.0552
41,H,-4.8323,-1.1141,1.5981
42,H,-4.6037,-0.9051,-0.8524
