,atom,x,y,z
0,P,0.237,0.0151,-0.7915
1,N,1.2044,-1.2594,-0.2676
2,N,1.035,1.4453,-0.4125
3,C,-1.2922,-0.0652,0.2135
4,O,-0.0794,-0.0486,-2.2203
5,C,1.7905,-2.1013,-1.2922
6,C,1.169,-1.7614,1.0906
7,C,1.8228,1.6106,0.7903
8,C,1.1471,2.4707,-1.4292
9,H,2.8248,-2.3377,-1.0212
10,H,1.8062,-1.5055,-2.2066
11,C,1.0124,-3.3875,-1.5562
12,H,0.6658,-1.007,1.7001
13,C,2.5568,-2.0443,1.6661
14,H,0.5761,-2.684,1.1581
15,H,2.6125,2.3388,0.5782
16,H,2.3051,0.6594,1.0258
17,C,1.0323,2.0723,2.0141
18,H,2.2073,2.6887,-1.6145
19,C,0.4252,3.769,-1.0782
20,H,0.7186,2.0574,-2.3432
21,H,0.9823,-4.0234,-0.6739
22,H,1.486,-3.9422,-2.3622
23,H,-0.0041,-3.1427,-1.8556
24,H,2.4726,-2.2385,2.7325
25,H,3.2232,-1.1974,1.5191
26,H,3.0027,-2.9167,1.1956
27,H,0.5451,3.0261,1.8306
28,H,1.7083,2.1876,2.8589
29,H,0.2711,1.3423,2.2784
30,H,0.8381,4.2169,-0.1769
31,H,-0.6361,3.5849,-0.93
32,H,0.5384,4.4778,-1.895
33,C,-1.9091,1.0808,0.6868
34,C,-1.9326,-1.2895,0.3361
35,C,-3.1587,-1.3743,0.9699
36,C,-3.758,-0.2298,1.4711
37,C,-3.1364,0.9985,1.3215
38,H,-1.4232,2.0354,0.5534
39,H,-1.4658,-2.172,-0.0777
40,H,-3.652,-2.3306,1.0684
41,H,-4.7151,-0.2944,1.9676
42,H,-3.6117,1.8943,1.695
