,atom,x,y,z
0,P,0.1727,-0.1937,-0.6267
1,N,1.1099,-1.3487,0.1841
2,N,0.9068,1.3262,-0.5974
3,C,-1.4897,-0.0334,0.1187
4,O,0.0183,-0.6298,-2.0176
5,C,1.3241,-2.6084,-0.5132
6,C,1.4429,-1.4394,1.5925
7,C,2.037,1.3923,-1.5083
8,C,0.8259,2.4527,0.3126
9,H,0.6891,-2.6173,-1.3982
10,H,1.0237,-3.4401,0.1367
11,C,2.7743,-2.788,-0.954
12,H,0.7432,-2.1225,2.1017
13,C,1.4671,-0.1047,2.3107
14,H,2.4381,-1.8948,1.6713
15,H,2.0238,2.363,-2.0194
16,H,1.8884,0.6138,-2.2581
17,C,3.3901,1.1899,-0.8312
18,H,1.4807,2.3311,1.1854
19,C,-0.5746,2.7999,0.7963
20,H,1.2029,3.3154,-0.251
21,H,3.049,-1.9912,-1.6401
22,H,2.8857,-3.7416,-1.4637
23,H,3.4562,-2.7706,-0.106
24,H,1.6258,-0.2658,3.3756
25,H,0.526,0.4201,2.175
26,H,2.2802,0.508,1.9324
27,H,3.5909,1.9821,-0.1123
28,H,4.1796,1.1985,-1.5789
29,H,3.4077,0.2324,-0.3172
30,H,-1.2535,2.9053,-0.0453
31,H,-0.5348,3.7461,1.3332
32,H,-0.9735,2.046,1.4688
33,C,-1.9105,-0.6285,1.297
34,C,-2.4178,0.6037,-0.6959
35,C,-3.7423,0.6916,-0.314
36,C,-4.1539,0.1232,0.8815
37,C,-3.2398,-0.5424,1.6791
38,H,-1.2129,-1.1607,1.9239
39,H,-2.0777,1.0157,-1.6345
40,H,-4.4577,1.1939,-0.9489
41,H,-5.1888,0.1875,1.1844
42,H,-3.562,-1.0031,2.6021
