,atom,x,y,z
0,P,-0.0223,-0.1568,-0.7433
1,N,0.9842,-1.366,-0.1389
2,N,0.623,1.3855,-0.5322
3,C,-1.4834,-0.1368,0.3467
4,O,-0.3754,-0.4128,-2.1398
5,C,1.5213,-2.3428,-1.0632
6,C,1.6354,-1.198,1.1447
7,C,0.7112,2.0389,0.7545
8,C,1.4023,1.9291,-1.6243
9,H,0.8418,-2.3584,-1.9166
10,H,1.5018,-3.3315,-0.5931
11,C,2.9315,-2.0309,-1.5572
12,H,2.6338,-0.7515,1.0311
13,C,1.7702,-2.5013,1.9293
14,H,1.0233,-0.5001,1.7206
15,H,1.7382,2.0128,1.1437
16,H,0.0727,1.4828,1.4463
17,C,0.2318,3.4893,0.7132
18,H,1.1926,1.2943,-2.4882
19,C,2.9065,1.9607,-1.3603
20,H,1.0528,2.9411,-1.8589
21,H,2.9368,-1.075,-2.0756
22,H,3.2539,-2.8025,-2.2518
23,H,3.6419,-1.9927,-0.7337
24,H,2.5016,-3.1627,1.4724
25,H,0.8172,-3.0221,1.9808
26,H,2.0978,-2.2794,2.9422
27,H,0.9061,4.1103,0.1298
28,H,0.1904,3.8859,1.7247
29,H,-0.7616,3.5459,0.2764
30,H,3.4332,2.2227,-2.2745
31,H,3.253,0.9853,-1.0262
32,H,3.1575,2.6969,-0.5996
33,C,-1.8,-1.1698,1.2124
34,C,-2.3824,0.9029,0.1548
35,C,-3.5715,0.9345,0.8586
36,C,-3.8717,-0.0844,1.7495
37,C,-2.9904,-1.1388,1.9193
38,H,-1.1167,-1.9979,1.325
39,H,-2.1342,1.6746,-0.56
40,H,-4.2684,1.7467,0.711
41,H,-4.7995,-0.0622,2.3023
42,H,-3.2338,-1.942,2.6
