,atom,x,y,z
0,P,0.5005,0.1518,-0.6953
1,N,1.3079,-1.0774,0.1005
2,N,0.9323,1.6382,0.0305
3,C,-1.2287,-0.098,-0.1747
4,O,0.6989,0.1146,-2.1473
5,C,1.0656,-1.3476,1.5011
6,C,2.4067,-1.7342,-0.575
7,C,2.1671,1.7626,0.7856
8,C,0.6524,2.7836,-0.827
9,H,0.6249,-0.4513,1.9434
10,H,2.0251,-1.538,1.9986
11,C,0.121,-2.5221,1.7564
12,H,2.5625,-1.1882,-1.5083
13,C,2.1407,-3.1998,-0.9078
14,H,3.321,-1.6552,0.0298
15,H,2.9133,2.3293,0.213
16,H,2.5804,0.7679,0.9622
17,C,1.9224,2.4531,2.1267
18,H,0.9952,3.6827,-0.3069
19,C,-0.8297,2.9139,-1.1369
20,H,1.2068,2.7,-1.7727
21,H,-0.8176,-2.3692,1.2303
22,H,-0.0848,-2.5958,2.8221
23,H,0.5534,-3.4601,1.4234
24,H,2.9149,-3.5657,-1.5778
25,H,1.1775,-3.2937,-1.4022
26,H,2.1433,-3.8186,-0.0142
27,H,2.8575,2.5492,2.6728
28,H,1.2254,1.875,2.7285
29,H,1.5043,3.4455,1.9773
30,H,-1.0,3.8039,-1.7388
31,H,-1.4111,2.9906,-0.2213
32,H,-1.1694,2.0457,-1.6969
33,C,-1.9879,-0.9447,-0.9689
34,C,-1.7849,0.4663,0.9628
35,C,-3.0948,0.1799,1.304
36,C,-3.8502,-0.6694,0.5113
37,C,-3.2979,-1.2306,-0.6289
38,H,-1.5338,-1.3622,-1.8564
39,H,-1.1918,1.1349,1.5694
40,H,-3.5303,0.6192,2.1902
41,H,-4.8726,-0.8909,0.7811
42,H,-3.8889,-1.8885,-1.2493
