,atom,x,y,z
0,P,0.1691,-0.0235,-0.6128
1,N,1.173,-1.1393,0.1781
2,N,0.7829,1.4326,-0.0455
3,C,-1.4909,-0.2587,0.1106
4,O,0.1623,-0.0442,-2.0795
5,C,2.5287,-1.0898,-0.3492
6,C,0.638,-2.4655,0.4264
7,C,1.0398,1.6441,1.3609
8,C,0.4739,2.6021,-0.8547
9,H,2.6495,-0.1036,-0.8079
10,H,2.6837,-1.8412,-1.1327
11,C,3.5695,-1.2724,0.7511
12,H,1.4032,-3.0414,0.9556
13,C,0.1982,-3.2115,-0.8312
14,H,-0.2233,-2.3619,1.0922
15,H,1.1231,0.6549,1.8149
16,H,0.2057,2.1819,1.8365
17,C,2.335,2.4149,1.6045
18,H,-0.3725,2.3662,-1.5062
19,C,1.652,3.0113,-1.7333
20,H,0.1772,3.4274,-0.1988
21,H,4.5662,-1.127,0.3419
22,H,3.5182,-2.2718,1.1767
23,H,3.4078,-0.5513,1.5478
24,H,-0.5588,-2.6288,-1.352
25,H,-0.2176,-4.1813,-0.5672
26,H,1.0363,-3.364,-1.507
27,H,2.5509,2.4407,2.6703
28,H,2.2528,3.4385,1.2484
29,H,3.1613,1.9312,1.0902
30,H,1.8949,2.1912,-2.4033
31,H,2.5278,3.2459,-1.1348
32,H,1.3869,3.8828,-2.3272
33,C,-2.5506,-0.2852,-0.7852
34,C,-1.7439,-0.3053,1.4759
35,C,-3.0462,-0.3973,1.9327
36,C,-4.1008,-0.4345,1.0339
37,C,-3.8528,-0.3774,-0.3273
38,H,-2.3308,-0.2409,-1.8422
39,H,-0.9253,-0.2789,2.1795
40,H,-3.2411,-0.4392,2.9948
41,H,-5.1156,-0.5068,1.397
42,H,-4.6731,-0.4041,-1.0296
