,atom,x,y,z
0,P,0.468,0.1168,-0.5427
1,N,1.3994,-1.1274,0.0795
2,N,1.0747,1.4651,0.2872
3,C,-1.2316,-0.0728,0.1011
4,O,0.5342,0.1352,-2.0082
5,C,1.7091,-2.2256,-0.8155
6,C,1.6488,-1.2867,1.4921
7,C,2.4806,1.7267,0.0376
8,C,0.2144,2.6179,0.4881
9,H,2.5441,-2.7896,-0.3885
10,H,2.0334,-1.791,-1.7646
11,C,0.5253,-3.1471,-1.0967
12,H,2.7153,-1.5096,1.635
13,C,0.8246,-2.3735,2.1821
14,H,1.4453,-0.3187,1.9545
15,H,2.9657,0.7494,-0.041
16,H,2.8922,2.2444,0.9144
17,C,2.79,2.5248,-1.2264
18,H,-0.5357,2.3613,1.2447
19,C,-0.5164,3.1048,-0.7609
20,H,0.8348,3.4215,0.897
21,H,-0.2875,-2.5582,-1.5155
22,H,0.1695,-3.6368,-0.1946
23,H,0.8134,-3.9086,-1.818
24,H,0.9668,-2.3086,3.2587
25,H,1.1388,-3.3624,1.8583
26,H,-0.233,-2.2506,1.961
27,H,2.4417,3.5513,-1.1394
28,H,2.309,2.0534,-2.0788
29,H,3.8648,2.5416,-1.3931
30,H,0.1822,3.4151,-1.5316
31,H,-1.1614,3.9446,-0.5089
32,H,-1.1281,2.2998,-1.1627
33,C,-2.2127,-0.3782,-0.8311
34,C,-1.5626,-0.0071,1.4481
35,C,-2.8664,-0.2346,1.8509
36,C,-3.8436,-0.5351,0.9151
37,C,-3.5163,-0.6072,-0.4286
38,H,-1.9347,-0.4203,-1.8748
39,H,-0.8035,0.2246,2.1803
40,H,-3.1223,-0.1792,2.8994
41,H,-4.8598,-0.7127,1.2354
42,H,-4.2761,-0.841,-1.16
