,atom,x,y,z
0,P,-0.2582,-0.2978,-1.2834
1,N,0.9406,0.7132,-0.7034
2,N,-1.6393,-0.3009,-0.3431
3,N,0.3868,-1.8203,-1.0061
4,O,-0.5706,0.0193,-2.6788
5,C,1.0906,2.0322,-1.276
6,C,1.8049,0.493,0.4334
7,C,-1.6722,-0.326,1.0961
8,C,-2.9173,0.0377,-0.9197
9,C,-0.2466,-2.9486,-0.3889
10,C,1.6886,-2.1429,-1.53
11,H,0.3701,2.1366,-2.0874
12,H,2.1014,2.1374,-1.6944
13,C,0.8641,3.1016,-0.2015
14,H,1.6152,-0.4986,0.8472
15,C,1.6002,1.5878,1.4909
16,H,2.8504,0.5224,0.0914
17,H,-0.6666,-0.5133,1.473
18,H,-2.3382,-1.1349,1.4287
19,C,-2.2161,0.9926,1.651
20,H,-2.795,0.1025,-2.0004
21,C,-3.4283,1.3606,-0.3563
22,H,-3.6416,-0.7516,-0.6801
23,H,-0.2636,-3.7853,-1.1017
24,H,-1.2767,-2.6986,-0.1414
25,C,0.5457,-3.3563,0.8705
26,H,2.1872,-1.2067,-1.7853
27,H,1.5986,-2.738,-2.4505
28,C,2.4834,-2.9397,-0.4741
29,H,-0.1727,3.0382,0.1472
30,H,1.0254,4.098,-0.618
31,H,0.5966,1.4992,1.9169
32,H,2.3253,1.4638,2.2983
33,H,-1.5101,1.8106,1.4147
34,H,-2.3097,0.9203,2.738
35,H,-2.7416,2.1722,-0.6626
36,H,-4.4207,1.5741,-0.7594
37,H,0.6032,-4.4582,0.9343
38,H,0.0499,-2.9925,1.7753
39,H,3.5118,-2.5768,-0.4234
40,H,2.5167,-4.0088,-0.7497
41,N,-3.5261,1.2616,1.0894
42,C,-4.1276,2.4397,1.6735
43,H,-4.2218,2.2956,2.7491
44,H,-5.1219,2.576,1.2512
45,H,-3.5403,3.3542,1.4918
46,N,1.8694,-2.7558,0.8293
47,C,2.7024,-3.2303,1.9097
48,H,2.9032,-4.312,1.8519
49,H,2.2059,-3.0226,2.8572
50,H,3.6523,-2.6978,1.8901
51,N,1.7212,2.9364,0.961
52,C,3.087,3.3661,0.7488
53,H,3.6216,3.2983,1.6961
54,H,3.0764,4.4094,0.4345
55,H,3.639,2.7851,-0.0024
