,atom,x,y,z
0,P,0.4617,0.1539,-1.0591
1,N,1.6773,1.2547,-0.7129
2,N,-0.9472,0.7017,-0.2964
3,N,1.0952,-1.2778,-0.4516
4,O,0.2121,0.0871,-2.4978
5,C,1.5583,2.5545,-1.3288
6,C,2.6721,1.2524,0.3247
7,C,-1.1391,0.999,1.1026
8,C,-2.1885,0.7081,-1.0277
9,C,1.0544,-1.7409,0.9165
10,C,1.0933,-2.4083,-1.3572
11,H,0.7595,2.5109,-2.0701
12,H,2.5024,2.7948,-1.8329
13,C,1.2713,3.6348,-0.2882
14,H,2.7275,0.2672,0.783
15,C,2.3846,2.3316,1.3716
16,H,3.6437,1.4794,-0.1339
17,H,-1.1625,2.0901,1.2593
18,H,-0.302,0.5954,1.6708
19,C,-2.4678,0.4104,1.6144
20,H,-2.6699,1.6853,-0.8888
21,C,-3.1212,-0.4099,-0.5403
22,H,-1.9619,0.5814,-2.0849
23,H,1.0314,-0.8962,1.6045
24,H,1.9716,-2.3169,1.0996
25,C,-0.1533,-2.644,1.1659
26,H,2.0097,-2.9844,-1.1883
27,H,1.0858,-2.0297,-2.3778
28,C,-0.1179,-3.3028,-1.1158
29,H,0.2741,3.4607,0.1565
30,H,1.2655,4.6155,-0.7701
31,H,1.4448,2.0965,1.9056
32,H,3.1971,2.3567,2.1027
33,H,-3.2646,1.1743,1.5633
34,H,-2.358,0.1155,2.6608
35,H,-4.1702,-0.0814,-0.6468
36,H,-2.9846,-1.3106,-1.1468
37,H,-1.0758,-2.054,1.031
38,H,-0.1184,-3.0248,2.1908
39,H,-0.0791,-4.1663,-1.7844
40,H,-1.0314,-2.7213,-1.3402
41,N,-2.812,-0.7629,0.8381
42,C,-3.8691,-1.5439,1.438
43,H,-4.8126,-0.9831,1.5315
44,H,-3.5567,-1.8727,2.4287
45,H,-4.0523,-2.4227,0.8204
46,N,-0.1104,-3.7776,0.2556
47,C,-1.1919,-4.702,0.5089
48,H,-1.0986,-5.5517,-0.1663
49,H,-2.1846,-4.2459,0.3656
50,H,-1.1209,-5.0621,1.5346
51,N,2.3131,3.6283,0.7235
52,C,2.1431,4.6994,1.6787
53,H,2.1489,5.6514,1.1499
54,H,2.975,4.6859,2.3815
55,H,1.2019,4.6204,2.2479
