,atom,x,y,z
0,P,0.6742,-0.3078,-0.4417
1,N,1.699,0.98,-0.0922
2,N,-0.942,0.0929,-0.2081
3,N,1.1451,-1.3087,0.8632
4,O,0.9286,-0.7521,-1.811
5,C,2.0773,1.8747,-1.163
6,C,2.0363,1.496,1.2132
7,C,-1.8318,0.063,-1.3462
8,C,-1.4583,0.941,0.836
9,C,2.0497,-2.3146,0.3447
10,C,0.1458,-1.9358,1.696
11,H,1.7219,1.4486,-2.1011
12,H,3.1727,1.9435,-1.2056
13,C,1.4814,3.2683,-0.9377
14,H,1.6434,0.8182,1.9714
15,C,1.4921,2.9208,1.4167
16,H,3.1314,1.5147,1.3086
17,H,-1.3993,-0.5984,-2.0949
18,H,-1.951,1.0694,-1.773
19,C,-3.2043,-0.4368,-0.9066
20,H,-0.772,0.9461,1.6835
21,C,-2.8366,0.4395,1.2714
22,H,-1.5802,1.9724,0.4694
23,H,2.5669,-2.7844,1.188
24,H,2.7853,-1.8046,-0.2782
25,C,1.2609,-3.3529,-0.4797
26,H,-0.5327,-1.1738,2.0724
27,H,0.6674,-2.3795,2.5525
28,C,-0.6277,-3.0157,0.91
29,H,0.3884,3.1944,-0.9619
30,H,1.8003,3.9511,-1.7278
31,H,0.3994,2.8933,1.4565
32,H,1.8601,3.3245,2.3628
33,H,-3.1191,-1.4789,-0.5496
34,H,-3.8901,-0.4169,-1.7568
35,H,-2.7425,-0.5701,1.7158
36,H,-3.2452,1.1116,2.0309
37,H,1.4183,-4.3711,-0.0783
38,H,1.5892,-3.3316,-1.5187
39,H,-1.6967,-2.7907,0.9017
40,H,-0.4908,-4.011,1.3738
41,N,-3.732,0.432,0.1313
42,C,-5.0796,0.0687,0.5074
43,H,-5.7198,0.121,-0.3718
44,H,-5.4464,0.7777,1.2485
45,H,-5.1468,-0.947,0.9305
46,N,-0.1399,-2.9832,-0.4484
47,C,-0.9312,-3.7681,-1.3635
48,H,-0.5538,-3.6124,-2.3727
49,H,-1.9671,-3.4334,-1.3263
50,H,-0.9014,-4.8459,-1.1346
51,N,1.847,3.8386,0.3487
52,C,3.2088,4.324,0.4133
53,H,3.3522,4.8219,1.3722
54,H,3.352,5.0576,-0.3794
55,H,3.9782,3.5473,0.3086
