,atom,x,y,z
0,P,0.0006,-0.0146,-0.3556
1,N,0.249,1.5433,0.2562
2,N,-1.4497,-0.5372,0.3415
3,N,1.2035,-0.9672,0.3569
4,O,-0.0005,-0.0743,-1.8193
5,C,1.1221,1.7909,1.3809
6,C,0.3568,2.6006,-0.7261
7,C,-2.0572,0.1602,1.4519
8,C,-2.4557,-1.0265,-0.5767
9,C,2.095,-1.6512,-0.5551
10,C,0.9447,-1.7721,1.529
11,H,1.0768,0.9483,2.0704
12,H,0.7678,2.696,1.8893
13,C,2.5676,2.0034,0.9321
14,H,-0.2578,2.336,-1.5869
15,C,1.8029,2.7989,-1.169
16,H,-0.0189,3.5279,-0.2782
17,H,-1.279,0.5804,2.0885
18,H,-2.6435,-0.5673,2.0265
19,C,-2.981,1.2796,0.9727
20,H,-1.9521,-1.4762,-1.4327
21,C,-3.3669,0.1012,-1.0509
22,H,-3.0534,-1.7872,-0.0612
23,H,3.0711,-1.7594,-0.0681
24,H,2.2011,-1.0441,-1.4544
25,C,1.5561,-3.0291,-0.9262
26,H,0.2165,-1.2683,2.1641
27,H,1.8887,-1.8835,2.0762
28,C,0.4188,-3.157,1.1528
29,H,2.9388,1.0611,0.488
30,H,3.1879,2.2537,1.7968
31,H,2.1369,1.8784,-1.6818
32,H,1.864,3.6342,-1.8706
33,H,-2.3684,2.0444,0.4601
34,H,-3.4749,1.7415,1.8317
35,H,-2.7569,0.819,-1.6294
36,H,-4.1469,-0.3017,-1.7013
37,H,2.27,-3.5439,-1.5736
38,H,0.6086,-2.8927,-1.4791
39,H,-0.5682,-3.0376,0.6685
40,H,0.2974,-3.7617,2.0555
41,N,-3.9974,0.7358,0.0921
42,C,-4.9502,1.7455,-0.3127
43,H,-5.4271,2.1605,0.5744
44,H,-5.7142,1.2826,-0.9357
45,H,-4.485,2.5677,-0.8795
46,N,1.364,-3.8206,0.2752
47,C,0.9504,-5.1716,-0.0328
48,H,-0.0149,-5.2115,-0.5623
49,H,0.8623,-5.7367,0.8943
50,H,1.709,-5.6411,-0.6572
51,N,2.6322,3.099,-0.0163
52,C,3.995,3.3956,-0.3986
53,H,4.5653,3.657,0.492
54,H,3.9957,4.248,-1.0763
55,H,4.4914,2.5486,-0.8984
