,atom,x,y,z
0,P,0.0421,0.0005,-0.5164
1,N,-1.5324,-0.4501,-0.1579
2,N,0.996,-0.7078,0.703
3,N,0.1975,1.6169,-0.1277
4,O,0.3773,-0.2625,-1.9186
5,C,-2.3154,-1.2682,-1.0569
6,C,-2.019,-0.7026,1.1795
7,C,2.342,-0.168,0.8594
8,C,1.1479,-2.1411,0.5159
9,C,-0.1681,2.5872,-1.1507
10,C,-0.1396,2.1891,1.1574
11,H,-1.7686,-1.4164,-1.9871
12,H,-3.2586,-0.7531,-1.2795
13,C,-2.5957,-2.5687,-0.2883
14,H,-1.2423,-0.4798,1.9097
15,C,-2.4463,-2.1827,1.1946
16,H,-2.8886,-0.0606,1.3726
17,H,2.5417,-0.0335,1.9294
18,H,2.4033,0.8042,0.3685
19,C,3.3215,-1.1916,0.2501
20,H,1.265,-2.6178,1.4975
21,C,2.4186,-2.2887,-0.3175
22,H,0.2702,-2.5517,0.0159
23,H,-1.1939,2.4277,-1.507
24,H,0.504,2.469,-2.0012
25,C,-0.039,3.956,-0.4591
26,H,0.3681,1.6486,1.9555
27,H,-1.2227,2.1713,1.3446
28,C,0.3413,3.6287,0.9919
29,H,-1.8724,-3.3364,-0.5631
30,H,-3.5903,-2.95,-0.5126
31,H,-1.6853,-2.7932,1.6789
32,H,-3.3795,-2.3106,1.7409
33,H,3.976,-1.5946,1.0238
34,H,3.9407,-0.7409,-0.5227
35,H,2.8593,-3.2814,-0.2442
36,H,2.1789,-2.076,-1.359
37,H,-0.989,4.4884,-0.4959
38,H,0.715,4.5781,-0.9374
39,H,1.4236,3.6662,1.1158
40,H,-0.1169,4.3079,1.7082
