,atom,x,y,z
0,P,0.2505,0.2497,-0.7628
1,N,-1.2889,-0.2905,-0.3105
2,N,1.5181,-0.4405,0.0982
3,N,0.3748,1.8633,-0.3322
4,O,0.414,0.0789,-2.2035
5,C,-1.8036,-1.4733,-0.9709
6,C,-1.8927,-0.2882,1.0054
7,C,1.5246,-0.9621,1.4476
8,C,2.5332,-1.1734,-0.628
9,C,-0.4462,2.7897,-1.0846
10,C,0.4445,2.3917,1.0138
11,H,-1.195,-1.7092,-1.841
12,H,-2.8324,-1.2767,-1.2967
13,C,-1.7889,-2.5536,0.113
14,H,-1.2936,0.2733,1.7193
15,C,-2.0869,-1.77,1.4008
16,H,-2.8753,0.1981,0.9334
17,H,0.545,-0.8737,1.9111
18,H,2.2443,-0.3917,2.0512
19,C,1.9872,-2.4337,1.3403
20,H,2.3791,-1.0565,-1.698
21,C,2.3779,-2.6119,-0.1333
22,H,3.5224,-0.7822,-0.3598
23,H,-0.8003,2.3121,-1.9962
24,H,0.1585,3.6656,-1.3474
25,C,-1.5653,3.1838,-0.1181
26,H,1.2907,3.0883,1.0644
27,H,0.6226,1.5974,1.7363
28,C,-0.8758,3.1584,1.2545
29,H,-0.7998,-3.0091,0.1619
30,H,-2.5203,-3.3368,-0.0765
31,H,-1.4178,-2.0641,2.2094
32,H,-3.1087,-1.9389,1.7388
33,H,1.1961,-3.1237,1.6324
34,H,2.8407,-2.6085,1.9945
35,H,1.5757,-3.1,-0.6888
36,H,3.2886,-3.1944,-0.2558
37,H,-2.3603,2.4397,-0.162
38,H,-1.9881,4.1587,-0.3527
39,H,-0.6657,4.1677,1.6065
40,H,-1.4978,2.6674,2.0021
