,atom,x,y,z
0,P,0.1186,0.1368,-0.5083
1,N,-0.9257,-0.6671,0.5794
2,N,1.6059,-0.5358,-0.1813
3,N,0.1971,1.6811,0.1041
4,O,-0.1984,0.1161,-1.9387
5,C,-2.2806,-0.1481,0.6075
6,C,-1.0593,-2.0937,0.3279
7,C,2.0772,-0.9694,1.1123
8,C,2.4183,-1.1858,-1.1819
9,C,-0.1115,2.858,-0.6724
10,C,0.1805,2.0486,1.501
11,H,-2.2801,0.9295,0.4497
12,H,-2.7181,-0.3703,1.5894
13,C,-3.0147,-0.9066,-0.499
14,H,-0.1899,-2.4535,-0.2229
15,C,-2.3702,-2.2972,-0.4593
16,H,-1.1044,-2.6143,1.2926
17,H,1.2747,-0.9013,1.8455
18,H,2.9057,-0.3262,1.4364
19,C,2.5804,-2.413,0.9045
20,H,1.9005,-1.1765,-2.1397
21,C,2.6679,-2.5923,-0.622
22,H,3.3706,-0.65,-1.2881
23,H,-0.4472,2.5662,-1.6662
24,H,0.7836,3.4867,-0.7689
25,C,-1.1751,3.5836,0.1574
26,H,1.1816,2.3738,1.8127
27,H,-0.1092,1.1913,2.1082
28,C,-0.8159,3.2237,1.6091
29,H,-2.8064,-0.4254,-1.454
30,H,-4.0915,-0.9355,-0.3413
31,H,-2.1715,-2.6662,-1.4635
32,H,-3.0122,-3.0158,0.0505
33,H,1.8881,-3.1314,1.3412
34,H,3.5512,-2.5518,1.3777
35,H,1.8974,-3.2792,-0.9734
36,H,3.6347,-2.9816,-0.9357
37,H,-2.1669,3.2085,-0.0984
38,H,-1.1635,4.6577,-0.0164
39,H,-0.3514,4.0679,2.1169
40,H,-1.7018,2.9387,2.175
