,atom,x,y,z
0,P,-0.0268,-0.3856,-0.6147
1,N,-1.2933,-1.1593,0.1411
2,N,1.33,-1.1248,0.0064
3,N,-0.0119,1.1878,0.0568
4,O,-0.1013,-0.4635,-2.0761
5,C,-1.6725,-0.9641,1.5254
6,C,-2.444,-1.6446,-0.5863
7,C,2.4076,-1.5914,-0.8359
8,C,1.8485,-0.9153,1.3423
9,C,-1.1926,1.9795,-0.2588
10,C,1.1048,2.0115,-0.3839
11,H,-1.1565,-0.0935,1.9314
12,H,-1.3836,-1.8415,2.1172
13,C,-3.209,-0.803,1.5265
14,H,-2.3182,-1.4447,-1.649
15,C,-3.6237,-0.9113,0.0524
16,H,-2.5461,-2.7272,-0.4358
17,H,2.1665,-1.4014,-1.8803
18,H,2.5482,-2.6705,-0.6918
19,C,3.6323,-0.8293,-0.3289
20,H,1.3565,-0.0567,1.8002
21,C,3.3719,-0.7158,1.1799
22,H,1.6466,-1.7979,1.9619
23,H,-2.0561,1.6018,0.2878
24,H,-1.4135,1.9437,-1.3357
25,C,-0.8058,3.4027,0.1588
26,H,1.1976,1.9956,-1.4798
27,H,2.0356,1.6498,0.0515
28,C,0.732,3.4161,0.0993
29,H,-3.5142,0.1477,1.9622
30,H,-3.6679,-1.6008,2.1097
31,H,-3.7276,0.0781,-0.3943
32,H,-4.562,-1.4475,-0.0751
33,H,3.6685,0.158,-0.7907
34,H,4.563,-1.3479,-0.5504
35,H,3.696,0.247,1.573
36,H,3.9105,-1.4951,1.7183
37,H,-1.1511,3.609,1.1714
38,H,-1.2487,4.1406,-0.5078
39,H,1.1122,4.1801,-0.5765
40,H,1.1502,3.5977,1.089
