,atom,x,y,z
0,P,0.0496,0.048,-0.4761
1,N,-1.0772,-1.1311,-0.0804
2,N,1.561,-0.5338,-0.0768
3,N,-0.1521,1.2403,0.7216
4,O,-0.0301,0.4361,-1.8874
5,C,-2.0692,-1.5657,-1.0382
6,C,-1.6321,-1.351,1.2373
7,C,1.8947,-1.0795,1.2322
8,C,2.347,-1.1972,-1.1051
9,C,-1.398,1.981,0.5853
10,C,0.895,2.2452,0.7681
11,H,-2.0162,-2.657,-1.1435
12,H,-1.8719,-1.1059,-2.0054
13,C,-3.4156,-1.1607,-0.4258
14,H,-1.4087,-2.378,1.5564
15,C,-3.1585,-1.1733,1.0908
16,H,-1.1919,-0.6546,1.9501
17,H,1.0682,-1.6574,1.6543
18,H,2.116,-0.2549,1.9178
19,C,3.1277,-1.9633,0.9963
20,H,1.8691,-2.1222,-1.4564
21,C,3.6429,-1.5158,-0.372
22,H,2.469,-0.528,-1.9561
23,H,-1.8029,2.1715,1.5869
24,H,-2.1197,1.387,0.0232
25,C,-1.0648,3.3082,-0.1263
26,H,1.8591,1.8007,0.5253
27,H,0.9273,2.6612,1.7828
28,C,0.4637,3.309,-0.2422
29,H,-4.2097,-1.8464,-0.7151
30,H,-3.6922,-0.161,-0.7619
31,H,-3.6856,-1.9935,1.5761
32,H,-3.4873,-0.2429,1.5514
33,H,2.8345,-3.0129,0.9532
34,H,3.8712,-1.8464,1.7827
35,H,4.2322,-2.2815,-0.872
36,H,4.2443,-0.6118,-0.272
37,H,-1.4176,4.1546,0.4632
38,H,-1.5323,3.354,-1.1078
39,H,0.7629,2.9879,-1.2393
40,H,0.9019,4.2836,-0.0343
